iter	Passed	Remaining
0	0	71
1	1	66
2	1	62
3	2	57
4	3	57
5	3	56
6	4	55
7	4	55
8	5	54
9	5	53
10	6	53
11	7	52
12	7	51
13	8	51
14	8	50
15	9	49
16	10	49
17	10	48
18	11	47
19	11	47
20	12	46
21	12	45
22	13	45
23	14	44
24	14	44
25	15	43
26	15	42
27	16	42
28	17	41
29	17	41
30	18	40
31	18	39
32	19	39
33	20	38
34	20	38
35	21	38
36	22	37
37	22	37
38	23	36
39	24	36
40	25	36
41	25	35
42	26	34
43	26	34
44	27	33
45	28	32
46	28	32
47	29	31
48	29	31
49	30	30
50	31	29
51	31	29
52	32	28
53	33	28
54	33	27
55	34	26
56	34	26
57	35	25
58	36	25
59	36	24
60	37	23
61	37	23
62	38	22
63	39	21
64	39	21
65	40	20
66	40	20
67	41	19
68	41	18
69	42	18
70	43	17
71	43	16
72	44	16
73	44	15
74	45	15
75	45	14
76	46	13
77	47	13
78	47	12
79	48	12
80	48	11
81	49	10
82	50	10
83	50	9
84	51	9
85	51	8
86	52	7
87	53	7
88	53	6
89	54	6
90	54	5
91	55	4
92	56	4
93	56	3
94	57	3
95	58	2
96	58	1
97	59	1
98	59	0
99	60	0
